"@timestamp",message,"kubernetes.pod.name"
"Feb 7, 2024 @ 10:33:14.132","2024-02-07 09:33:14 INFO  Lag:82 - total lag 271",controllerandscaler
"Feb 7, 2024 @ 10:33:13.124","2024-02-07 09:33:13 INFO  Lag:82 - total lag 272",controllerandscaler
"Feb 7, 2024 @ 10:33:12.104","2024-02-07 09:33:12 INFO  Lag:82 - total lag 269",controllerandscaler
"Feb 7, 2024 @ 10:33:11.087","2024-02-07 09:33:11 INFO  Lag:82 - total lag 280",controllerandscaler
"Feb 7, 2024 @ 10:33:10.079","2024-02-07 09:33:10 INFO  Lag:82 - total lag 283",controllerandscaler
"Feb 7, 2024 @ 10:33:09.060","2024-02-07 09:33:09 INFO  Lag:82 - total lag 290",controllerandscaler
"Feb 7, 2024 @ 10:33:08.047","2024-02-07 09:33:08 INFO  Lag:82 - total lag 288",controllerandscaler
"Feb 7, 2024 @ 10:33:07.034","2024-02-07 09:33:07 INFO  Lag:82 - total lag 293",controllerandscaler
"Feb 7, 2024 @ 10:33:06.020","2024-02-07 09:33:06 INFO  Lag:82 - total lag 304",controllerandscaler
"Feb 7, 2024 @ 10:33:05.007","2024-02-07 09:33:05 INFO  Lag:82 - total lag 313",controllerandscaler
"Feb 7, 2024 @ 10:33:03.957","2024-02-07 09:33:03 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:02.937","2024-02-07 09:33:02 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:01.927","2024-02-07 09:33:01 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:33:00.912","2024-02-07 09:33:00 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:59.896","2024-02-07 09:32:59 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:58.882","2024-02-07 09:32:58 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:57.868","2024-02-07 09:32:57 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:56.809","2024-02-07 09:32:56 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:55.795","2024-02-07 09:32:55 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:54.784","2024-02-07 09:32:54 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:53.733","2024-02-07 09:32:53 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:52.721","2024-02-07 09:32:52 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:51.713","2024-02-07 09:32:51 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:50.697","2024-02-07 09:32:50 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:49.683","2024-02-07 09:32:49 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:48.671","2024-02-07 09:32:48 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:47.661","2024-02-07 09:32:47 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:46.646","2024-02-07 09:32:46 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:45.633","2024-02-07 09:32:45 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:44.622","2024-02-07 09:32:44 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:43.610","2024-02-07 09:32:43 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:32:42.599","2024-02-07 09:32:42 INFO  Lag:82 - total lag 0",controllerandscaler
