"@timestamp",message,"kubernetes.pod.name"
"Feb 23, 2024 @ 10:49:05.346","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 13","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.341","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.412","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 79","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.407","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 74","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.399","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 66","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.394","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 61","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.389","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 56","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.384","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 51","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.379","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 45","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.374","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 40","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.368","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 35","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.363","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 30","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.359","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.353","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 20","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.346","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 12","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.340","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.435","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 102","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.430","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 98","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.425","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 93","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.422","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 87","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.415","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 83","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.407","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 75","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.402","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 70","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.397","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 65","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.392","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 60","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.387","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 55","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.382","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 48","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.377","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 43","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.368","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 36","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.363","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 31","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:03.358","2024-02-23 09:49:03 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.425","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 93","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.420","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 88","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.415","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 83","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.410","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 78","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.405","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 72","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.399","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 67","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.394","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 62","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.389","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 57","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.384","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 52","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.379","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 47","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.373","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 41","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.368","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 36","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.360","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 28","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.355","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 23","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.350","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 18","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.345","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 13","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:02.340","2024-02-23 09:49:02 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:01.437","2024-02-23 09:49:01 INFO  Consumer:82 -  latency is 105","latency-74975dc98-rrw6b"
